benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
[0. 4. 3. 0. 0.],[17. 19. 19.  0.  0.],[0. 0. 0. 9. 0.],[0. 0. 0. 0. 0.],[19.  0.  0.  0.  0.],[0. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.],[0. 0. 0. 0. 0.],[0. 1. 1. 0. 0.]
[3. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 0.  0. 17.  0.  0.],[0. 0. 0. 0. 0.],[3. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[6. 0. 0. 0. 0.],[ 8. 11.  0.  0.  0.],[0. 0. 0. 9. 0.],[3. 3. 3. 0. 0.]
[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[2. 0. 0. 0. 0.],[5. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 4. 9. 0.],[0. 0. 0. 0. 0.],[1. 1. 1. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[5. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 1. 0. 0.],[4. 4. 0. 0. 0.],[7. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[1. 1. 0. 0. 0.],[0. 0. 0. 0. 0.]
[2. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[2. 2. 0. 0. 0.],[3. 3. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[5. 5. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 0.  0. 19.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[0. 0. 6. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 1.  0. 19.  0.  0.],[2. 0. 0. 0. 0.],[3. 8. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 5. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 8.  8. 15.  0.  0.],[0. 8. 0. 0. 0.]
[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[2. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 1.  0.  0. 19.  0.],[0. 0. 0. 0. 0.],[0. 0. 7. 0. 0.],[4. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 2. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 7. 13.  0.  0.  0.],[7. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[16.  0.  0.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 7. 0.],[0. 0. 0. 0. 0.],[ 6. 11. 11.  0.  0.],[0. 0. 0. 0. 0.],[0. 5. 0. 8. 0.],[10. 10. 10.  0.  0.],[1. 0. 0. 0. 0.]
